M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
8,72,1.0,5.842556709008147,0.57757674060062,7438,34.0
8,76,0.2,9.99724688655828,0.6782317228432311,14513,51.0
8,76,0.4,9.96986592192258,0.6981810970597607,12827,46.0
8,76,0.6,7.935649895121955,0.5932725029286929,11134,43.0
8,76,0.8,6.593159619818181,0.548846721281227,9323,40.0
8,76,1.0,5.064046495977351,0.4883382879749326,7438,34.0
8,80,0.2,9.960105312867253,0.6588439036143086,14513,54.0
8,80,0.4,10.21899152520691,0.6976513143679988,12827,50.0
8,80,0.6,8.633083401691366,0.6309188594865353,11134,43.0
8,80,0.8,6.921449240610146,0.5631718404926074,9323,39.0
8,80,1.0,5.12657096749377,0.47987287987759475,7438,34.0
8,84,0.2,13.375134237602973,0.8623640340773677,14513,57.0
8,84,0.4,12.403658518602821,0.8246666883511858,12827,53.0
8,84,0.6,10.868784487772475,0.7732372625546746,11134,43.0
8,84,0.8,9.137617908974562,0.7247734510448234,9323,40.0
8,84,1.0,6.792401713749503,0.6179657360935351,7438,34.0
8,88,0.2,15.64641690449626,0.9892860802557301,14513,59.0
8,88,0.4,13.901986858587524,0.9082431269327175,12827,55.0
8,88,0.6,12.673203104796935,0.8847623772446827,11134,46.0
8,88,0.8,11.266609649214612,0.8769363337431086,9323,41.0
8,88,1.0,8.906746880658703,0.7935524354876333,7438,35.0
8,92,0.2,16.08922697940799,1.0015718853054876,14513,62.0
8,92,0.4,14.724238714394428,0.9484569230146187,12827,57.0
8,92,0.6,14.148288933145222,0.9712694635650588,11134,48.0
8,92,0.8,12.73571953386669,0.9720136853490773,9323,43.0
8,92,1.0,10.533514737096588,0.9214515073086572,7438,36.0
8,96,0.2,15.067004817821232,0.9214433733232262,14513,61.0
8,96,0.4,13.872474058709152,0.8786250252926803,12827,57.0
8,96,0.6,13.003398163087615,0.8765851943937348,11134,51.0
8,96,0.8,12.8450739894054,0.9596846147912644,9323,43.0
8,96,1.0,10.466961599577596,0.8951275516014457,7438,36.0
8,100,0.2,13.721690598994156,0.8310684192737657,14513,61.0
8,100,0.4,12.8416365580896,0.8050716720350092,12827,57.0
8,100,0.6,12.141113585108084,0.8121321344121591,11134,52.0
8,100,0.8,11.759104598692357,0.868277884182281,9323,45.0
8,100,1.0,9.561538753002605,0.8066071428600102,7438,37.0
8,104,0.2,10.540492104907559,0.6291569378330768,14513,63.0
8,104,0.4,10.148439599185947,0.6271316942936629,12827,60.0
8,104,0.6,9.658303315012393,0.6366458413570987,11134,54.0
8,104,0.8,9.811033325535892,0.7133237297266775,9323,49.0
8,104,1.0,7.851603236350858,0.6511473828129244,7438,39.0
8,108,0.2,8.659268166939963,0.5082353499444165,14513,63.0
8,108,0.4,7.475362483047788,0.453517959420249,12827,60.0
8,108,0.6,6.670889354890371,0.4317557680653087,11134,53.0
8,108,0.8,7.355661329229168,0.5247761416324817,9323,49.0
8,108,1.0,5.916687341210842,0.4809534963229368,7438,40.0
8,112,0.2,10.90874873625879,0.6291856597265462,14513,63.0
8,112,0.4,10.098542208287807,0.6031954282454476,12827,60.0
8,112,0.6,9.140566481408612,0.5816557446435809,11134,55.0
8,112,0.8,9.120815490598485,0.638874650027177,9323,49.0
8,112,1.0,7.783083650618321,0.6221338593119182,7438,40.0
8,116,0.2,13.221521436175344,0.755329451823998,14513,62.0
8,116,0.4,12.818751176416992,0.7586753094321881,12827,58.0
8,116,0.6,11.338064202276314,0.7144588110826818,11134,58.0
8,116,0.8,10.484671181695719,0.7249355991884924,9323,48.0
8,116,1.0,8.990242984364562,0.7089373159891093,7438,40.0
8,120,0.2,12.20644752741623,0.6861402519393077,14513,63.0
8,120,0.4,11.26938813140943,0.6579935034590264,12827,59.0
8,120,0.6,9.75851712243558,0.6067467306119059,11134,58.0
8,120,0.8,9.12206828659235,0.6197724665040613,9323,50.0
8,120,1.0,8.715228465248199,0.6758930163748412,7438,41.0
12,4,0.2,-0.3270506368917321,-0.11319529680250481,14540,4.0
